Location,Price,Total_Area,Price_per_SQFT,Baths,Balcony,BHK,State,Year,District,Temperature (°C),Condition,Humidity (%),Wind Speed (km/h),Disaster
"Vepery, Periyamet,Chennai",160000000.0,6462,24760.0,1,Yes,8.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sobha Mitr,Pudupakkam, Chennai",2700000.0,542,4980.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"SAI KAVINS,Srinivasapuram, Iyyappanthangal,Chennai",1900000.0,300,6330.0,1,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Perumalpattu, Chennai",3000000.0,810,3700.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"VASUVI APARTMENT,Lakshmi Nagar, Moulivakkam,Chennai",2300000.0,500,4600.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Vijayalakshmi street,Mahalingapuram, Nungambakkam,Chennai",5800000.0,510,11370.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Swiss,Vepery, Periyamet,Chennai",8400000.0,1053,7980.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Dadashamakan, Jamalia,Chennai",6000000.0,930,6450.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Jeevan Mitra ,Duraisamy Nagar, Chitlapakkam,Chennai",2200000.0,512,4300.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Coimbed market,MMDA Colony, Balavinayagar Nagar,Chennai",6800000.0,850,8000.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Royappa Nagar, Chennai",3500000.0,899,3890.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Jamaliya Nagar, Perambur,Chennai",8200000.0,850,9650.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Tiruvancheri, Selaiyur,Chennai",8500000.0,900,9440.0,3,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Melakottaiyur, Chennai",2500000.0,650,3850.0,2,No,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sholinganallur, Chennai",1900000.0,467,4070.000000000001,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Poonamallee, Chennai",2800000.0,485,5770.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Mahindra World City, Chennai",3700000.0,636,5820.0,2,No,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kasturibai Nagar, Adyar,Chennai",6000000.0,840,7140.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sampoorna villas,Keerapakkam, Chennai",6000000.0,1290,4650.0,3,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Palaniappa Nagar, Valasaravakkam,Chennai",980000.0,500,1960.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Golden Castle ,Kundrathur, Chennai",2300000.0,700,3290.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Annamalai Colony, Saligramam,Chennai",7500000.0,1080,6940.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Kattankulathur, Chennai",13000000.0,2798,4650.0,4,Yes,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Thiruvallur, Chennai",14000000.0,1500,9330.0,3,No,3.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Poonjeri Apartment,Salavankuppam, Chennai",1800000.0,540,3330.0,2,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Sathiyamoorthy Nagar, Tiruvottiyur,Chennai",17500000.0,1300,13460.0,3,Yes,2.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
"Elango Nagar, Padi,Chennai",4000000.0,444,9010.0,2,Yes,1.0,Tamil Nadu,2005,Ariyalur,24.3,Mist,89,10.1,stampede
